Ulasan,Case Folding,Remove Punctuation,Remove Number,Tokenization,Spelling Correction,Stopwords,Stemming,Sentimen
jaringan kacauuuuu,jaringan kacauuuuu,jaringan kacauuuuu,jaringan kacauuuuu,"['jaringan', 'kacauuuuu']","['jaringan', 'kacau']","['jaringan', 'kacau']",jaring kacau,NEGATIF
setelah memakai telkomsel sama saja paket nya mahal mahal.waktu masuk pesan dari telkomsel paket nya murah.di suruh cek atau beli di mytelkomsel.pas udah buka mytelkomsel nya malah zonk tidak sesuai dengan pesan dari telkomsel.. Tolong dan mohon di perbaiki kembali mytelkomsel nya..klau seperti ini sama saja membohongi pengguna telkomsel akhirnya beralih ke kartu lain.. Terimakasih.,setelah memakai telkomsel sama saja paket nya mahal mahal.waktu masuk pesan dari telkomsel paket nya murah.di suruh cek atau beli di mytelkomsel.pas udah buka mytelkomsel nya malah zonk tidak sesuai dengan pesan dari telkomsel.. tolong dan mohon di perbaiki kembali mytelkomsel nya..klau seperti ini sama saja membohongi pengguna telkomsel akhirnya beralih ke kartu lain.. terimakasih.,setelah memakai telkomsel sama saja paket nya mahal mahal waktu masuk pesan dari telkomsel paket nya murah di suruh cek atau beli di mytelkomsel pas udah buka mytelkomsel nya malah zonk tidak sesuai dengan pesan dari telkomsel   tolong dan mohon di perbaiki kembali mytelkomsel nya  klau seperti ini sama saja membohongi pengguna telkomsel akhirnya beralih ke kartu lain   terimakasih ,setelah memakai telkomsel sama saja paket nya mahal mahal waktu masuk pesan dari telkomsel paket nya murah di suruh cek atau beli di mytelkomsel pas udah buka mytelkomsel nya malah zonk tidak sesuai dengan pesan dari telkomsel   tolong dan mohon di perbaiki kembali mytelkomsel nya  klau seperti ini sama saja membohongi pengguna telkomsel akhirnya beralih ke kartu lain   terimakasih ,"['setelah', 'memakai', 'telkomsel', 'sama', 'saja', 'paket', 'nya', 'mahal', 'mahal', 'waktu', 'masuk', 'pesan', 'dari', 'telkomsel', 'paket', 'nya', 'murah', 'di', 'suruh', 'cek', 'atau', 'beli', 'di', 'mytelkomsel', 'pas', 'udah', 'buka', 'mytelkomsel', 'nya', 'malah', 'zonk', 'tidak', 'sesuai', 'dengan', 'pesan', 'dari', 'telkomsel', 'tolong', 'dan', 'mohon', 'di', 'perbaiki', 'kembali', 'mytelkomsel', 'nya', 'klau', 'seperti', 'ini', 'sama', 'saja', 'membohongi', 'pengguna', 'telkomsel', 'akhirnya', 'beralih', 'ke', 'kartu', 'lain', 'terimakasih']","['setelah', 'memakai', 'telkomsel', 'sama', 'saja', 'paket', 'nya', 'mahal', 'mahal', 'waktu', 'masuk', 'pesan', 'dari', 'telkomsel', 'paket', 'nya', 'murah', 'di', 'suruh', 'cek', 'atau', 'beli', 'di', 'mytelkomsel', 'pas', 'sudah', 'buka', 'mytelkomsel', 'nya', 'malah', 'zonk', 'tidak', 'sesuai', 'dengan', 'pesan', 'dari', 'telkomsel', 'tolong', 'dan', 'mohon', 'di', 'perbaiki', 'kembali', 'mytelkomsel', 'nya', 'kalau', 'seperti', 'ini', 'sama', 'saja', 'membohongi', 'pengguna', 'telkomsel', 'akhirnya', 'beralih', 'ke', 'kartu', 'lain', 'terima kasih']","['memakai', 'telkomsel', 'sama', 'paket', 'nya', 'mahal', 'mahal', 'waktu', 'masuk', 'pesan', 'telkomsel', 'paket', 'nya', 'murah', 'suruh', 'cek', 'beli', 'mytelkomsel', 'pas', 'buka', 'mytelkomsel', 'nya', 'malah', 'zonk', 'tidak', 'sesuai', 'pesan', 'telkomsel', 'mohon', 'perbaiki', 'mytelkomsel', 'nya', 'kalau', 'sama', 'membohongi', 'pengguna', 'telkomsel', 'akhirnya', 'beralih', 'kartu', 'terima kasih']",pakai telkomsel sama paket nya mahal mahal waktu masuk pesan telkomsel paket nya murah suruh cek beli mytelkomsel pas buka mytelkomsel nya malah zonk tidak sesuai pesan telkomsel mohon baik mytelkomsel nya kalau sama bohong guna telkomsel akhir alih kartu terima kasih,NEGATIF
"sangat bagus,dan mempermudah","sangat bagus,dan mempermudah",sangat bagus dan mempermudah,sangat bagus dan mempermudah,"['sangat', 'bagus', 'dan', 'mempermudah']","['sangat', 'bagus', 'dan', 'mempermudah']","['sangat', 'bagus', 'mempermudah']",sangat bagus mudah,POSITIF
sinyal ngelag yang disalahin apknya. aneh bet orang indo,sinyal ngelag yang disalahin apknya. aneh bet orang indo,sinyal ngelag yang disalahin apknya  aneh bet orang indo,sinyal ngelag yang disalahin apknya  aneh bet orang indo,"['sinyal', 'ngelag', 'yang', 'disalahin', 'apknya', 'aneh', 'bet', 'orang', 'indo']","['sinyal', 'lag', 'yang', 'disalahkan', 'aplikasinya', 'aneh', 'bet', 'orang', 'indo']","['sinyal', 'lag', 'disalahkan', 'aplikasinya', 'aneh', 'bet', 'orang', 'indo']",sinyal lag salah aplikasi aneh bet orang indo,NEGATIF
"MAHAL,PELAYANAN JARINGAN INTERNET SEMAKIN LAMA SEMAKIN BERMASALAH. JARINGAN INTERNET SERING HILANG TANPA SEBAB,TIDAK ADA PEMBERITAHUAN SECARA KHUSUS DARI PIHAK TELKOMSEL APABILA ADA KERUSAKAN/KENDALA YANG MENYEBABKAN TERGANGGU NYA JARINGAN. JIKA TERUS SEPERTI INI PERCAYALAH,TERKOMSEL AKAN DITINGGALKAN OLEH MASYARAKAT KALAU TIDAK ADA PERUBAHAN SAMA SEKALI.","mahal,pelayanan jaringan internet semakin lama semakin bermasalah. jaringan internet sering hilang tanpa sebab,tidak ada pemberitahuan secara khusus dari pihak telkomsel apabila ada kerusakan/kendala yang menyebabkan terganggu nya jaringan. jika terus seperti ini percayalah,terkomsel akan ditinggalkan oleh masyarakat kalau tidak ada perubahan sama sekali.",mahal pelayanan jaringan internet semakin lama semakin bermasalah  jaringan internet sering hilang tanpa sebab tidak ada pemberitahuan secara khusus dari pihak telkomsel apabila ada kerusakan kendala yang menyebabkan terganggu nya jaringan  jika terus seperti ini percayalah terkomsel akan ditinggalkan oleh masyarakat kalau tidak ada perubahan sama sekali ,mahal pelayanan jaringan internet semakin lama semakin bermasalah  jaringan internet sering hilang tanpa sebab tidak ada pemberitahuan secara khusus dari pihak telkomsel apabila ada kerusakan kendala yang menyebabkan terganggu nya jaringan  jika terus seperti ini percayalah terkomsel akan ditinggalkan oleh masyarakat kalau tidak ada perubahan sama sekali ,"['mahal', 'pelayanan', 'jaringan', 'internet', 'semakin', 'lama', 'semakin', 'bermasalah', 'jaringan', 'internet', 'sering', 'hilang', 'tanpa', 'sebab', 'tidak', 'ada', 'pemberitahuan', 'secara', 'khusus', 'dari', 'pihak', 'telkomsel', 'apabila', 'ada', 'kerusakan', 'kendala', 'yang', 'menyebabkan', 'terganggu', 'nya', 'jaringan', 'jika', 'terus', 'seperti', 'ini', 'percayalah', 'terkomsel', 'akan', 'ditinggalkan', 'oleh', 'masyarakat', 'kalau', 'tidak', 'ada', 'perubahan', 'sama', 'sekali']","['mahal', 'pelayanan', 'jaringan', 'internet', 'semakin', 'lama', 'semakin', 'bermasalah', 'jaringan', 'internet', 'sering', 'hilang', 'tanpa', 'sebab', 'tidak', 'ada', 'beri tahu', 'secara', 'khusus', 'dari', 'pihak', 'telkomsel', 'apabila', 'ada', 'kerusakan', 'kendala', 'yang', 'menyebabkan', 'terganggu', 'nya', 'jaringan', 'jika', 'terus', 'seperti', 'ini', 'percayalah', 'telkomsel', 'akan', 'ditinggalkan', 'oleh', 'masyarakat', 'kalau', 'tidak', 'ada', 'perubahan', 'sama', 'sekali']","['mahal', 'pelayanan', 'jaringan', 'internet', 'semakin', 'lama', 'semakin', 'bermasalah', 'jaringan', 'internet', 'sering', 'hilang', 'tidak', 'beri tahu', 'khusus', 'pihak', 'telkomsel', 'apabila', 'kerusakan', 'kendala', 'menyebabkan', 'terganggu', 'nya', 'jaringan', 'terus', 'percayalah', 'telkomsel', 'ditinggalkan', 'masyarakat', 'kalau', 'tidak', 'perubahan', 'sama', 'sekali']",mahal layan jaring internet makin lama makin masalah jaring internet sering hilang tidak beri tahu khusus pihak telkomsel apabila rusa kendala sebab ganggu nya jaring terus percaya telkomsel tinggal masyarakat kalau tidak ubah sama sekali,NEGATIF
jaringan terluas tanpa batas,jaringan terluas tanpa batas,jaringan terluas tanpa batas,jaringan terluas tanpa batas,"['jaringan', 'terluas', 'tanpa', 'batas']","['jaringan', 'terluas', 'tanpa', 'batas']","['jaringan', 'terluas', 'batas']",jaring luas batas,POSITIF
"Parah saya isi kuota di aplikasi pakai gopay, gopay terpotong kuota malah tidak ke isi... sialan benar rugi saya...","parah saya isi kuota di aplikasi pakai gopay, gopay terpotong kuota malah tidak ke isi... sialan benar rugi saya...",parah saya isi kuota di aplikasi pakai gopay  gopay terpotong kuota malah tidak ke isi    sialan benar rugi saya   ,parah saya isi kuota di aplikasi pakai gopay  gopay terpotong kuota malah tidak ke isi    sialan benar rugi saya   ,"['parah', 'saya', 'isi', 'kuota', 'di', 'aplikasi', 'pakai', 'gopay', 'gopay', 'terpotong', 'kuota', 'malah', 'tidak', 'ke', 'isi', 'sialan', 'benar', 'rugi', 'saya']","['parah', 'saya', 'isi', 'kuota', 'di', 'aplikasi', 'pakai', 'gopay', 'gopay', 'terpotong', 'kuota', 'malah', 'tidak', 'ke', 'isi', 'sialan', 'benar', 'rugi', 'saya']","['parah', 'isi', 'kuota', 'aplikasi', 'pakai', 'gopay', 'gopay', 'terpotong', 'kuota', 'malah', 'tidak', 'isi', 'sialan', 'benar', 'rugi']",parah isi kuota aplikasi pakai gopay gopay potong kuota malah tidak isi sial benar rugi,NEGATIF
sangar puas dan juga murah terima kasih my telkomsel,sangar puas dan juga murah terima kasih my telkomsel,sangar puas dan juga murah terima kasih my telkomsel,sangar puas dan juga murah terima kasih my telkomsel,"['sangar', 'puas', 'dan', 'juga', 'murah', 'terima', 'kasih', 'my', 'telkomsel']","['sangat', 'puas', 'dan', 'juga', 'murah', 'terima', 'kasih', 'my', 'telkomsel']","['sangat', 'puas', 'murah', 'terima', 'kasih', 'my', 'telkomsel']",sangat puas murah terima kasih my telkomsel,POSITIF
"Aplikasi nya berat, dan knpa Telkomsel s3karang makin hari paketan makin mahal, gua orang susah bukan Sultan seberapapun harga paket nya D beli, ayok p3ngguna Telkomsel ganti jngan pake Telkomsel lagi makin mahal","aplikasi nya berat, dan knpa telkomsel s3karang makin hari paketan makin mahal, gua orang susah bukan sultan seberapapun harga paket nya d beli, ayok p3ngguna telkomsel ganti jngan pake telkomsel lagi makin mahal",aplikasi nya berat  dan knpa telkomsel s3karang makin hari paketan makin mahal  gua orang susah bukan sultan seberapapun harga paket nya d beli  ayok p3ngguna telkomsel ganti jngan pake telkomsel lagi makin mahal,aplikasi nya berat  dan knpa telkomsel skarang makin hari paketan makin mahal  gua orang susah bukan sultan seberapapun harga paket nya d beli  ayok pngguna telkomsel ganti jngan pake telkomsel lagi makin mahal,"['aplikasi', 'nya', 'berat', 'dan', 'knpa', 'telkomsel', 'skarang', 'makin', 'hari', 'paketan', 'makin', 'mahal', 'gua', 'orang', 'susah', 'bukan', 'sultan', 'seberapapun', 'harga', 'paket', 'nya', 'd', 'beli', 'ayok', 'pngguna', 'telkomsel', 'ganti', 'jngan', 'pake', 'telkomsel', 'lagi', 'makin', 'mahal']","['aplikasi', 'nya', 'berat', 'dan', 'kenapa', 'telkomsel', 'sekarang', 'makin', 'hari', 'paketan', 'makin', 'mahal', 'gue', 'orang', 'susah', 'bukan', 'sultan', 'seberapapun', 'harga', 'paket', 'nya', 'd', 'beli', 'ayo', 'pengguna', 'telkomsel', 'ganti', 'jangan', 'pakai', 'telkomsel', 'lagi', 'makin', 'mahal']","['aplikasi', 'nya', 'berat', 'telkomsel', 'sekarang', 'makin', 'hari', 'paketan', 'makin', 'mahal', 'gue', 'orang', 'susah', 'bukan', 'sultan', 'seberapapun', 'harga', 'paket', 'nya', 'd', 'beli', 'ayo', 'pengguna', 'telkomsel', 'ganti', 'jangan', 'pakai', 'telkomsel', 'makin', 'mahal']",aplikasi nya berat telkomsel sekarang makin hari paket makin mahal gue orang susah bukan sultan berapa harga paket nya d beli ayo guna telkomsel ganti jangan pakai telkomsel makin mahal,NEGATIF
mantap pisan,mantap pisan,mantap pisan,mantap pisan,"['mantap', 'pisan']","['mantap', 'pisan']","['mantap', 'pisan']",mantap pis,POSITIF
my telkomsel it's my life.,my telkomsel it's my life.,my telkomsel it s my life ,my telkomsel it s my life ,"['my', 'telkomsel', 'it', 's', 'my', 'life']","['my', 'telkomsel', 'it', 's', 'my', 'life']","['my', 'telkomsel', 'it', 's', 'my', 'life']",my telkomsel it s my life,POSITIF
lebih prima,lebih prima,lebih prima,lebih prima,"['lebih', 'prima']","['lebih', 'prima']","['lebih', 'prima']",lebih prima,POSITIF
top markotop,top markotop,top markotop,top markotop,"['top', 'markotop']","['top', 'markotop']","['top', 'markotop']",top markotop,POSITIF
"Lancar semua pekerjaan dan komunikasi bersama Telkomsel......ðð¤, terima kasih Telkomsel.....lebih seru kalau dapat hadiah atau bonus....ðð¥°","lancar semua pekerjaan dan komunikasi bersama telkomsel......ðð¤, terima kasih telkomsel.....lebih seru kalau dapat hadiah atau bonus....ðð¥°",lancar semua pekerjaan dan komunikasi bersama telkomsel      ðð¤  terima kasih telkomsel     lebih seru kalau dapat hadiah atau bonus    ðð¥°,lancar semua pekerjaan dan komunikasi bersama telkomsel      ðð¤  terima kasih telkomsel     lebih seru kalau dapat hadiah atau bonus    ðð¥°,"['lancar', 'semua', 'pekerjaan', 'dan', 'komunikasi', 'bersama', 'telkomsel', 'ð\x9f\x91\x8dð\x9f¤\x93', 'terima', 'kasih', 'telkomsel', 'lebih', 'seru', 'kalau', 'dapat', 'hadiah', 'atau', 'bonus', 'ð\x9f\x98\x87ð\x9f¥°']","['lancar', 'semua', 'pekerjaan', 'dan', 'komunikasi', 'bersama', 'telkomsel', 'ð\x9f\x91\x8dð\x9f¤\x93', 'terima', 'kasih', 'telkomsel', 'lebih', 'seru', 'kalau', 'dapat', 'hadiah', 'atau', 'bonus', 'ð\x9f\x98\x87ð\x9f¥°']","['lancar', 'semua', 'pekerjaan', 'komunikasi', 'bersama', 'telkomsel', 'ð\x9f\x91\x8dð\x9f¤\x93', 'terima', 'kasih', 'telkomsel', 'lebih', 'seru', 'kalau', 'hadiah', 'bonus', 'ð\x9f\x98\x87ð\x9f¥°']",lancar semua kerja komunikasi sama telkomsel terima kasih telkomsel lebih seru kalau hadiah bonus,POSITIF
"Aplikasinya sangat membantu saya, bagus.","aplikasinya sangat membantu saya, bagus.",aplikasinya sangat membantu saya  bagus ,aplikasinya sangat membantu saya  bagus ,"['aplikasinya', 'sangat', 'membantu', 'saya', 'bagus']","['aplikasinya', 'sangat', 'membantu', 'saya', 'bagus']","['aplikasinya', 'sangat', 'membantu', 'bagus']",aplikasi sangat bantu bagus,POSITIF
ditingkatkan,ditingkatkan,ditingkatkan,ditingkatkan,['ditingkatkan'],['ditingkatkan'],['ditingkatkan'],tingkat,NETRAL
Aplikasinya sangat susah dibuka... Padahal pakai internet Telkomsel.... Jadi di perkuat dulu sinyalnya dan kecepatan maka aplikasi baru bisa bintang 5+++,aplikasinya sangat susah dibuka... padahal pakai internet telkomsel.... jadi di perkuat dulu sinyalnya dan kecepatan maka aplikasi baru bisa bintang 5+++,aplikasinya sangat susah dibuka    padahal pakai internet telkomsel     jadi di perkuat dulu sinyalnya dan kecepatan maka aplikasi baru bisa bintang 5   ,aplikasinya sangat susah dibuka    padahal pakai internet telkomsel     jadi di perkuat dulu sinyalnya dan kecepatan maka aplikasi baru bisa bintang    ,"['aplikasinya', 'sangat', 'susah', 'dibuka', 'padahal', 'pakai', 'internet', 'telkomsel', 'jadi', 'di', 'perkuat', 'dulu', 'sinyalnya', 'dan', 'kecepatan', 'maka', 'aplikasi', 'baru', 'bisa', 'bintang']","['aplikasinya', 'sangat', 'susah', 'dibuka', 'padahal', 'pakai', 'internet', 'telkomsel', 'jadi', 'di', 'perkuat', 'dulu', 'sinyalnya', 'dan', 'kecepatan', 'maka', 'aplikasi', 'baru', 'bisa', 'bintang']","['aplikasinya', 'sangat', 'susah', 'dibuka', 'padahal', 'pakai', 'internet', 'telkomsel', 'jadi', 'perkuat', 'dulu', 'sinyalnya', 'kecepatan', 'aplikasi', 'baru', 'bintang']",aplikasi sangat susah buka padahal pakai internet telkomsel jadi kuat dulu sinyal cepat aplikasi baru bintang,NEGATIF
"Woi Telkomsel , tolong sampaikan kepada pihak telkomsel ini paketan kok gak jelas bangat Saya beli kuota 20gb tertulis 12nasional,, dan 8apps untuk chat,FB,yt,tiktok,netflik dll. Saya main apk tiktok yg kemakan kuota nasional Itu 8gb tidak terpakai masih utuh hingga paketan nasional saya habis... Dan stlh paket nasional habis saya tidak bisa buka lagi apa2 cuma tiktok doang trus apa guna nya 8gb itu yg kata nya untuk chat,FB,yt,tiktok dll","woi telkomsel , tolong sampaikan kepada pihak telkomsel ini paketan kok gak jelas bangat saya beli kuota 20gb tertulis 12nasional,, dan 8apps untuk chat,fb,yt,tiktok,netflik dll. saya main apk tiktok yg kemakan kuota nasional itu 8gb tidak terpakai masih utuh hingga paketan nasional saya habis... dan stlh paket nasional habis saya tidak bisa buka lagi apa2 cuma tiktok doang trus apa guna nya 8gb itu yg kata nya untuk chat,fb,yt,tiktok dll",woi telkomsel   tolong sampaikan kepada pihak telkomsel ini paketan kok gak jelas bangat saya beli kuota 20gb tertulis 12nasional   dan 8apps untuk chat fb yt tiktok netflik dll  saya main apk tiktok yg kemakan kuota nasional itu 8gb tidak terpakai masih utuh hingga paketan nasional saya habis    dan stlh paket nasional habis saya tidak bisa buka lagi apa2 cuma tiktok doang trus apa guna nya 8gb itu yg kata nya untuk chat fb yt tiktok dll,woi telkomsel   tolong sampaikan kepada pihak telkomsel ini paketan kok gak jelas bangat saya beli kuota gb tertulis nasional   dan apps untuk chat fb yt tiktok netflik dll  saya main apk tiktok yg kemakan kuota nasional itu gb tidak terpakai masih utuh hingga paketan nasional saya habis    dan stlh paket nasional habis saya tidak bisa buka lagi apa cuma tiktok doang trus apa guna nya gb itu yg kata nya untuk chat fb yt tiktok dll,"['woi', 'telkomsel', 'tolong', 'sampaikan', 'kepada', 'pihak', 'telkomsel', 'ini', 'paketan', 'kok', 'gak', 'jelas', 'bangat', 'saya', 'beli', 'kuota', 'gb', 'tertulis', 'nasional', 'dan', 'apps', 'untuk', 'chat', 'fb', 'yt', 'tiktok', 'netflik', 'dll', 'saya', 'main', 'apk', 'tiktok', 'yg', 'kemakan', 'kuota', 'nasional', 'itu', 'gb', 'tidak', 'terpakai', 'masih', 'utuh', 'hingga', 'paketan', 'nasional', 'saya', 'habis', 'dan', 'stlh', 'paket', 'nasional', 'habis', 'saya', 'tidak', 'bisa', 'buka', 'lagi', 'apa', 'cuma', 'tiktok', 'doang', 'trus', 'apa', 'guna', 'nya', 'gb', 'itu', 'yg', 'kata', 'nya', 'untuk', 'chat', 'fb', 'yt', 'tiktok', 'dll']","['woi', 'telkomsel', 'tolong', 'sampaikan', 'kepada', 'pihak', 'telkomsel', 'ini', 'paketan', 'kok', 'tidak', 'jelas', 'banget', 'saya', 'beli', 'kuota', 'gb', 'tertulis', 'nasional', 'dan', 'aplikasi', 'untuk', 'chat', 'facebook', 'youtube', 'tiktok', 'netflix', 'dan lain lain', 'saya', 'main', 'aplikasi', 'tiktok', 'yang', 'termakan', 'kuota', 'nasional', 'itu', 'gb', 'tidak', 'terpakai', 'masih', 'utuh', 'hingga', 'paketan', 'nasional', 'saya', 'habis', 'dan', 'setelah', 'paket', 'nasional', 'habis', 'saya', 'tidak', 'bisa', 'buka', 'lagi', 'apa', 'cuma', 'tiktok', 'doang', 'terus', 'apa', 'guna', 'nya', 'gb', 'itu', 'yang', 'kata', 'nya', 'untuk', 'chat', 'facebook', 'youtube', 'tiktok', 'dan lain lain']","['woi', 'telkomsel', 'sampaikan', 'pihak', 'telkomsel', 'paketan', 'kok', 'tidak', 'jelas', 'banget', 'beli', 'kuota', 'gb', 'tertulis', 'nasional', 'aplikasi', 'chat', 'facebook', 'youtube', 'tiktok', 'netflix', 'dan lain lain', 'main', 'aplikasi', 'tiktok', 'termakan', 'kuota', 'nasional', 'gb', 'tidak', 'terpakai', 'utuh', 'hingga', 'paketan', 'nasional', 'habis', 'paket', 'nasional', 'habis', 'tidak', 'buka', 'apa', 'cuma', 'tiktok', 'doang', 'terus', 'apa', 'nya', 'gb', 'kata', 'nya', 'chat', 'facebook', 'youtube', 'tiktok', 'dan lain lain']",woi telkomsel sampai pihak telkomsel paket kok tidak jelas banget beli kuota gb tulis nasional aplikasi chat facebook youtube tiktok netflix dan lain lain main aplikasi tiktok makan kuota nasional gb tidak pakai utuh hingga paket nasional habis paket nasional habis tidak buka apa cuma tiktok doang terus apa nya gb kata nya chat facebook youtube tiktok dan lain lain,NEGATIF
"Tolong dong jangan memaksa pakai kuota darurat, saya sebagai pengguna telkomsel nggak pernah merasa menyetujui kuota darurat, tapi kok di setujui sepihak Tolong di perbaiki lagi","tolong dong jangan memaksa pakai kuota darurat, saya sebagai pengguna telkomsel nggak pernah merasa menyetujui kuota darurat, tapi kok di setujui sepihak tolong di perbaiki lagi",tolong dong jangan memaksa pakai kuota darurat  saya sebagai pengguna telkomsel nggak pernah merasa menyetujui kuota darurat  tapi kok di setujui sepihak tolong di perbaiki lagi,tolong dong jangan memaksa pakai kuota darurat  saya sebagai pengguna telkomsel nggak pernah merasa menyetujui kuota darurat  tapi kok di setujui sepihak tolong di perbaiki lagi,"['tolong', 'dong', 'jangan', 'memaksa', 'pakai', 'kuota', 'darurat', 'saya', 'sebagai', 'pengguna', 'telkomsel', 'nggak', 'pernah', 'merasa', 'menyetujui', 'kuota', 'darurat', 'tapi', 'kok', 'di', 'setujui', 'sepihak', 'tolong', 'di', 'perbaiki', 'lagi']","['tolong', 'dong', 'jangan', 'memaksa', 'pakai', 'kuota', 'darurat', 'saya', 'sebagai', 'pengguna', 'telkomsel', 'tidak', 'pernah', 'merasa', 'menyetujui', 'kuota', 'darurat', 'tapi', 'kok', 'di', 'setujui', 'sepihak', 'tolong', 'di', 'perbaiki', 'lagi']","['dong', 'jangan', 'memaksa', 'pakai', 'kuota', 'darurat', 'pengguna', 'telkomsel', 'tidak', 'pernah', 'merasa', 'menyetujui', 'kuota', 'darurat', 'kok', 'setujui', 'sepihak', 'perbaiki']",dong jangan paksa pakai kuota darurat guna telkomsel tidak pernah rasa tuju kuota darurat kok tuju pihak baik,NEGATIF
